------------------------------------------------------------------
Benchmark                        Time             CPU   Iterations
InversionCount/373           28185 ns        28185 ns        24210
InversionCount/374           27869 ns        27869 ns        23925
InversionCount/375           27334 ns        27334 ns        23955
InversionCount/376           28798 ns        28798 ns        31968
InversionCount/377           28414 ns        28414 ns        23562
InversionCount/378           29256 ns        29256 ns        23948
InversionCount/379           28334 ns        28334 ns        24115
InversionCount/380           25349 ns        25349 ns        24347
InversionCount/381           28864 ns        28864 ns        23578
InversionCount/382           29281 ns        29281 ns        24826
InversionCount/383           29027 ns        29027 ns        24445
InversionCount/384           29160 ns        29160 ns        24228
InversionCount/385           26432 ns        26432 ns        23897
InversionCount/386           30058 ns        30058 ns        24317
InversionCount/387           28988 ns        28988 ns        23553
InversionCount/388           29612 ns        29612 ns        23236
InversionCount/389           30029 ns        30029 ns        23009
InversionCount/390           29455 ns        29455 ns        22792
InversionCount/391           29929 ns        29929 ns        30609
InversionCount/392           30041 ns        30041 ns        23943
InversionCount/393           30183 ns        30183 ns        22849
InversionCount/394           30271 ns        30271 ns        23147
InversionCount/395           30992 ns        30992 ns        22956
InversionCount/396           30282 ns        30283 ns        22210
InversionCount/397           30787 ns        30787 ns        22825
InversionCount/398           30907 ns        30907 ns        23157
InversionCount/399           30827 ns        30827 ns        22746
InversionCount/400           30671 ns        30671 ns        22315
InversionCount/401           30438 ns        30438 ns        22563
InversionCount/402           31659 ns        31659 ns        22461
InversionCount/403           31366 ns        31366 ns        22080
InversionCount/404           30985 ns        30985 ns        22291
InversionCount/405           32148 ns        32148 ns        22068
InversionCount/406           31908 ns        31908 ns        22248
InversionCount/407           31469 ns        31469 ns        21746
InversionCount/408           31518 ns        31518 ns        22175
InversionCount/409           31673 ns        31673 ns        21699
InversionCount/410           32096 ns        32096 ns        21736
InversionCount/411           31965 ns        31965 ns        21411
InversionCount/412           31557 ns        31557 ns        20848
InversionCount/413           32350 ns        32350 ns        21082
InversionCount/414           32204 ns        32204 ns        21915
InversionCount/415           32493 ns        32493 ns        21700
InversionCount/416           32902 ns        32902 ns        21461
InversionCount/417           33344 ns        33344 ns        21336
InversionCount/418           32098 ns        32098 ns        21361
InversionCount/419           33622 ns        33622 ns        21212
InversionCount/420           32799 ns        32798 ns        21163
InversionCount/421           32626 ns        32626 ns        21756
InversionCount/422           33571 ns        33571 ns        21125
InversionCount/423           33340 ns        33340 ns        20750
InversionCount/424           30191 ns        30191 ns        21061
InversionCount/425           33587 ns        33587 ns        20951
InversionCount/426           33198 ns        33198 ns        20370
InversionCount/427           34850 ns        34850 ns        20404
InversionCount/428           33760 ns        33760 ns        20383
InversionCount/429           34458 ns        34458 ns        20482
InversionCount/430           34676 ns        34676 ns        20267
InversionCount/431           34681 ns        34681 ns        20238
InversionCount/432           34603 ns        34603 ns        20764
InversionCount/433           33649 ns        33649 ns        20349
InversionCount/434           34943 ns        34943 ns        20864
InversionCount/435           34730 ns        34730 ns        19694
InversionCount/436           35107 ns        35107 ns        20587
InversionCount/437           35196 ns        35196 ns        20133
InversionCount/438           35316 ns        35316 ns        20392
InversionCount/439           34328 ns        34328 ns        21399
InversionCount/440           35117 ns        35117 ns        20215
InversionCount/441           35276 ns        35276 ns        19975
InversionCount/442           35023 ns        35023 ns        20404
InversionCount/443           36074 ns        36074 ns        19308
InversionCount/444           35936 ns        35936 ns        19869
InversionCount/445           32652 ns        32652 ns        19858
InversionCount/446           35610 ns        35610 ns        19803
InversionCount/447           29503 ns        29504 ns        19645
InversionCount/448           35109 ns        35109 ns        19743
InversionCount/449           36854 ns        36854 ns        19490
InversionCount/450           36189 ns        36189 ns        19159
InversionCount/451           29867 ns        29867 ns        19006
InversionCount/452           36304 ns        36304 ns        19704
InversionCount/453           36203 ns        36203 ns        19177
InversionCount/454           36508 ns        36508 ns        19032
