------------------------------------------------------------------
Benchmark                        Time             CPU   Iterations
InversionCount/461           16391 ns        16391 ns        44976
InversionCount/462           16046 ns        16046 ns        45533
InversionCount/463           15282 ns        15282 ns        48926
InversionCount/464           15959 ns        15959 ns        47578
InversionCount/465           14951 ns        14951 ns        45023
InversionCount/466           15338 ns        15339 ns        44156
InversionCount/467           16182 ns        16182 ns        42554
InversionCount/468           15368 ns        15368 ns        42942
InversionCount/469           15233 ns        15233 ns        50714
InversionCount/470           16277 ns        16277 ns        43105
InversionCount/471           16030 ns        16030 ns        44154
InversionCount/472           17218 ns        17218 ns        46305
InversionCount/473           17431 ns        17431 ns        40403
InversionCount/474           16460 ns        16460 ns        42840
InversionCount/475           16974 ns        16974 ns        43193
InversionCount/476           16514 ns        16514 ns        44509
InversionCount/477           16858 ns        16858 ns        46319
InversionCount/478           17257 ns        17257 ns        45131
InversionCount/479           16596 ns        16596 ns        42279
InversionCount/480           17162 ns        17162 ns        69965
InversionCount/481           16477 ns        16477 ns        43720
InversionCount/482           16542 ns        16542 ns        39082
InversionCount/483           16476 ns        16476 ns        44250
InversionCount/484           17406 ns        17406 ns        40276
InversionCount/485           17097 ns        17097 ns        72361
InversionCount/486           16931 ns        16931 ns        38492
InversionCount/487           16759 ns        16759 ns        44452
InversionCount/488           17251 ns        17251 ns        70448
InversionCount/489           17177 ns        17177 ns        39058
InversionCount/490           16890 ns        16890 ns        39213
InversionCount/491           17471 ns        17471 ns        40735
InversionCount/492           17892 ns        17892 ns        40375
InversionCount/493           17580 ns        17580 ns        39610
InversionCount/494           17107 ns        17107 ns        41233
InversionCount/495           16811 ns        16811 ns        42170
InversionCount/496           16397 ns        16398 ns        47421
InversionCount/497           18028 ns        18028 ns        38882
InversionCount/498           16849 ns        16849 ns        38869
InversionCount/499           17993 ns        17993 ns        38022
InversionCount/500           18211 ns        18211 ns        39249
InversionCount/501           17961 ns        17961 ns        38454
InversionCount/502           18417 ns        18417 ns        38794
InversionCount/503           17474 ns        17474 ns        40370
InversionCount/504           17112 ns        17112 ns        38209
