------------------------------------------------------------------
Benchmark                        Time             CPU   Iterations
InversionCount/313           22940 ns        22938 ns        30723
InversionCount/314           22852 ns        22851 ns        30851
InversionCount/315           22764 ns        22763 ns        29901
InversionCount/316           23429 ns        23428 ns        29626
InversionCount/317           22910 ns        22909 ns        29253
InversionCount/318           23636 ns        23635 ns        29353
InversionCount/319           23592 ns        23591 ns        30833
InversionCount/320           23269 ns        23267 ns        29714
InversionCount/321           23404 ns        23403 ns        30007
InversionCount/322           23976 ns        23975 ns        30572
InversionCount/323           23861 ns        23859 ns        30958
InversionCount/324           24301 ns        24299 ns        29895
InversionCount/325           23645 ns        23644 ns        28237
InversionCount/326           24443 ns        24441 ns        29603
InversionCount/327           24094 ns        24094 ns        29052
InversionCount/328           24221 ns        24220 ns        30462
InversionCount/329           24861 ns        24861 ns        29455
InversionCount/330           24710 ns        24710 ns        42633
InversionCount/331           23876 ns        23876 ns        29355
InversionCount/332           24296 ns        24296 ns        29182
InversionCount/333           23664 ns        23664 ns        27708
InversionCount/334           24516 ns        24516 ns        29161
InversionCount/335           24698 ns        24698 ns        27722
InversionCount/336           25014 ns        25014 ns        28064
InversionCount/337           25373 ns        25373 ns        27798
InversionCount/338           25075 ns        25075 ns        27230
InversionCount/339           25121 ns        25121 ns        27817
InversionCount/340           25216 ns        25216 ns        27115
InversionCount/341           26053 ns        26053 ns        28064
InversionCount/342           24972 ns        24972 ns        26971
InversionCount/343           25480 ns        25480 ns        28375
InversionCount/344           25851 ns        25851 ns        27013
InversionCount/345           25885 ns        25885 ns        27305
InversionCount/346           25605 ns        25605 ns        27329
InversionCount/347           25820 ns        25820 ns        26883
InversionCount/348           26107 ns        26107 ns        26505
InversionCount/349           26520 ns        26520 ns        26624
InversionCount/350           25962 ns        25962 ns        27324
InversionCount/351           25097 ns        25097 ns        27270
InversionCount/352           26701 ns        26701 ns        26976
InversionCount/353           27116 ns        27116 ns        26919
InversionCount/354           27340 ns        27340 ns        27350
InversionCount/355           27485 ns        27485 ns        26552
InversionCount/356           27603 ns        27603 ns        25474
InversionCount/357           27017 ns        27017 ns        26562
InversionCount/358           27830 ns        27830 ns        26565
InversionCount/359           27596 ns        27596 ns        35879
InversionCount/360           27052 ns        27052 ns        25127
InversionCount/361           27394 ns        27394 ns        24878
InversionCount/362           28227 ns        28227 ns        24446
InversionCount/363           27641 ns        27641 ns        25264
InversionCount/364           28002 ns        28002 ns        25201
InversionCount/365           27227 ns        27227 ns        26023
InversionCount/366           27986 ns        27986 ns        25679
InversionCount/367           28383 ns        28383 ns        28734
InversionCount/368           28208 ns        28208 ns        25631
InversionCount/369           28313 ns        28313 ns        24544
InversionCount/370           28896 ns        28896 ns        24704
InversionCount/371           28673 ns        28673 ns        24122
InversionCount/372           28138 ns        28138 ns        24589
InversionCount/373           29508 ns        29508 ns        23746
InversionCount/374           28444 ns        28444 ns        25184
InversionCount/375           29178 ns        29178 ns        23251
InversionCount/376           29606 ns        29606 ns        23701
InversionCount/377           29706 ns        29706 ns        23404
InversionCount/378           29287 ns        29287 ns        24993
InversionCount/379           28952 ns        28952 ns        23168
InversionCount/380           29703 ns        29703 ns        23706
InversionCount/381           29122 ns        29123 ns        24861
InversionCount/382           29304 ns        29304 ns        24603
InversionCount/383           29867 ns        29867 ns        23139
InversionCount/384           29740 ns        29740 ns        23464
InversionCount/385           30435 ns        30435 ns        23196
InversionCount/386           30049 ns        30049 ns        26692
InversionCount/387           30305 ns        30305 ns        23391
InversionCount/388           30212 ns        30212 ns        22200
InversionCount/389           29242 ns        29242 ns        23369
InversionCount/390           30840 ns        30840 ns        22702
InversionCount/391           30282 ns        30282 ns        23445
InversionCount/392           31285 ns        31285 ns        23479
InversionCount/393           31260 ns        31260 ns        22220
InversionCount/394           30224 ns        30224 ns        22718
InversionCount/395           30802 ns        30802 ns        21898
InversionCount/396           31465 ns        31465 ns        22854
InversionCount/397           31742 ns        31742 ns        21785
InversionCount/398           32189 ns        32189 ns        23052
InversionCount/399           31913 ns        31913 ns        21911
InversionCount/400           32142 ns        32142 ns        22594
InversionCount/401           31726 ns        31726 ns        21899
InversionCount/402           31809 ns        31809 ns        21996
InversionCount/403           32222 ns        32222 ns        21646
InversionCount/404           32599 ns        32599 ns        21014
InversionCount/405           32564 ns        32564 ns        22003
InversionCount/406           33303 ns        33304 ns        21124
InversionCount/407           32847 ns        32847 ns        21288
InversionCount/408           32196 ns        32196 ns        21731
InversionCount/409           32562 ns        32562 ns        21953
InversionCount/410           32434 ns        32434 ns        21696
InversionCount/411           32200 ns        32200 ns        21513
InversionCount/412           32484 ns        32484 ns        20940
InversionCount/413           32977 ns        32977 ns        21357
InversionCount/414           32917 ns        32917 ns        21956
InversionCount/415           29517 ns        29517 ns        20669
InversionCount/416           33137 ns        33137 ns        20949
InversionCount/417           25535 ns        25535 ns        20733
InversionCount/418           34416 ns        34416 ns        20363
InversionCount/419           33847 ns        33847 ns        21476
InversionCount/420           34321 ns        34321 ns        21217
InversionCount/421           43004 ns        43004 ns        17597
InversionCount/422           50887 ns        50887 ns        10000
InversionCount/423           33390 ns        33390 ns        19213
InversionCount/424           42163 ns        42163 ns        17418
InversionCount/425           34082 ns        34083 ns        19228
InversionCount/426           35461 ns        35461 ns        19524
InversionCount/427           35247 ns        35247 ns        20615
InversionCount/428           35397 ns        35397 ns        19812
InversionCount/429           37920 ns        37920 ns        18052
InversionCount/430           36846 ns        36847 ns        18332
InversionCount/431           35766 ns        35766 ns        19763
InversionCount/432           34358 ns        34358 ns        19685
InversionCount/433           34389 ns        34389 ns        20039
InversionCount/434           34414 ns        34414 ns        19516
InversionCount/435           36370 ns        36370 ns        19132
InversionCount/436           35183 ns        35183 ns        19350
InversionCount/437           35803 ns        35803 ns        20046
InversionCount/438           36671 ns        36671 ns        19515
InversionCount/439           36475 ns        36475 ns        19836
InversionCount/440           36207 ns        36207 ns        19822
InversionCount/441           36216 ns        36216 ns        19901
InversionCount/442           35687 ns        35687 ns        18985
InversionCount/443           36025 ns        36025 ns        20095
InversionCount/444           36358 ns        36358 ns        19197
InversionCount/445           36410 ns        36410 ns        19499
InversionCount/446           36937 ns        36937 ns        18657
