------------------------------------------------------------------
Benchmark                        Time             CPU   Iterations
InversionCount/314            1825 ns         1825 ns       376559
InversionCount/315            3258 ns         3258 ns       217061
InversionCount/316            2235 ns         2235 ns       310165
InversionCount/317            3078 ns         3078 ns       241571
InversionCount/318            3426 ns         3426 ns       215400
InversionCount/319            3197 ns         3197 ns       202127
InversionCount/320            3228 ns         3228 ns       199827
InversionCount/321            3081 ns         3081 ns       251001
InversionCount/322            2543 ns         2543 ns       211123
InversionCount/323            3150 ns         3150 ns       323809
InversionCount/324            3207 ns         3207 ns       231545
InversionCount/325            3248 ns         3248 ns       204949
InversionCount/326            3455 ns         3455 ns       205911
InversionCount/327            3438 ns         3438 ns       202197
InversionCount/328            1884 ns         1884 ns       372904
InversionCount/329            2977 ns         2977 ns       222327
InversionCount/330            3451 ns         3451 ns       216485
InversionCount/331            2304 ns         2304 ns       293486
InversionCount/332            2948 ns         2948 ns       227478
InversionCount/333            3492 ns         3492 ns       197365
InversionCount/334            3052 ns         3052 ns       220043
InversionCount/335            3482 ns         3482 ns       214449
InversionCount/336            1929 ns         1929 ns       363753
InversionCount/337            3312 ns         3312 ns       208579
InversionCount/338            3700 ns         3700 ns       190959
InversionCount/339            2378 ns         2378 ns       290194
InversionCount/340            2915 ns         2915 ns       221352
InversionCount/341            3260 ns         3260 ns       226654
InversionCount/342            3188 ns         3188 ns       224570
InversionCount/343            3809 ns         3809 ns       206444
InversionCount/344            2976 ns         2976 ns       234393
InversionCount/345            3420 ns         3420 ns       174571
InversionCount/346            3484 ns         3484 ns       195462
InversionCount/347            3781 ns         3781 ns       191686
InversionCount/348            3641 ns         3641 ns       205551
InversionCount/349            3327 ns         3327 ns       203691
InversionCount/350            3690 ns         3690 ns       190603
InversionCount/351            3909 ns         3909 ns       193638
InversionCount/352            3423 ns         3423 ns       200054
InversionCount/353            3648 ns         3648 ns       182583
InversionCount/354            3727 ns         3727 ns       183479
InversionCount/355            3781 ns         3781 ns       177453
InversionCount/356            3888 ns         3888 ns       196136
InversionCount/357            2701 ns         2701 ns       283321
InversionCount/358            3660 ns         3660 ns       213988
InversionCount/359            3712 ns         3712 ns       173994
InversionCount/360            4184 ns         4184 ns       183564
InversionCount/361            2616 ns         2616 ns       271741
InversionCount/362            3684 ns         3684 ns       177043
InversionCount/363            3741 ns         3741 ns       177884
InversionCount/364            3900 ns         3900 ns       162734
InversionCount/365            3425 ns         3425 ns       195327
InversionCount/366            3964 ns         3964 ns       172245
InversionCount/367            3947 ns         3947 ns       169917
InversionCount/368            4121 ns         4121 ns       179408
InversionCount/369            3905 ns         3905 ns       172544
InversionCount/370            2205 ns         2205 ns       313672
InversionCount/371            3975 ns         3975 ns       197718
InversionCount/372            2852 ns         2852 ns       249705
InversionCount/373            4015 ns         4015 ns       170882
InversionCount/374            3852 ns         3852 ns       185421
InversionCount/375            4008 ns         4008 ns       167265
InversionCount/376            3996 ns         3996 ns       175652
InversionCount/377            4045 ns         4045 ns       176661
InversionCount/378            3808 ns         3808 ns       170560
InversionCount/379            4040 ns         4040 ns       165248
InversionCount/380            4224 ns         4224 ns       169064
InversionCount/381            3869 ns         3869 ns       160444
InversionCount/382            4195 ns         4195 ns       157482
InversionCount/383            4310 ns         4310 ns       166284
InversionCount/384            4368 ns         4368 ns       160353
InversionCount/385            4303 ns         4303 ns       161530
InversionCount/386            4355 ns         4355 ns       162413
InversionCount/387            4366 ns         4366 ns       162791
InversionCount/388            4427 ns         4427 ns       160341
InversionCount/389            4375 ns         4375 ns       157567
InversionCount/390            2372 ns         2372 ns       292078
InversionCount/391            4295 ns         4295 ns       161737
InversionCount/392            4325 ns         4325 ns       156236
InversionCount/393            4394 ns         4394 ns       167555
InversionCount/394            3974 ns         3974 ns       177603
InversionCount/395            4296 ns         4296 ns       167755
InversionCount/396            4133 ns         4133 ns       164806
InversionCount/397            4244 ns         4244 ns       161799
InversionCount/398            4427 ns         4426 ns       163230
InversionCount/399            4289 ns         4289 ns       159252
InversionCount/400            4271 ns         4271 ns       153450
InversionCount/401            4434 ns         4434 ns       164936
InversionCount/402            3986 ns         3986 ns       177052
InversionCount/403            4140 ns         4140 ns       158431
InversionCount/404            4186 ns         4186 ns       162140
InversionCount/405            4441 ns         4441 ns       154745
InversionCount/406            4254 ns         4254 ns       160572
InversionCount/407            4515 ns         4515 ns       159473
InversionCount/408            4131 ns         4131 ns       175182
InversionCount/409            4517 ns         4517 ns       156143
InversionCount/410            4343 ns         4343 ns       154551
InversionCount/411            4463 ns         4462 ns       157500
InversionCount/412            4505 ns         4505 ns       156483
InversionCount/413            4596 ns         4596 ns       150621
InversionCount/414            4401 ns         4401 ns       160740
InversionCount/415            4355 ns         4355 ns       158673
InversionCount/416            4307 ns         4307 ns       150493
InversionCount/417            4185 ns         4185 ns       170624
InversionCount/418            4343 ns         4343 ns       155154
InversionCount/419            4568 ns         4568 ns       155989
InversionCount/420            4331 ns         4331 ns       153906
InversionCount/421            4694 ns         4694 ns       162684
InversionCount/422            4039 ns         4039 ns       163796
InversionCount/423            4673 ns         4673 ns       153138
InversionCount/424            4236 ns         4236 ns       157002
InversionCount/425            4481 ns         4481 ns       155602
InversionCount/426            4132 ns         4132 ns       179267
InversionCount/427            4628 ns         4628 ns       144771
InversionCount/428            4128 ns         4128 ns       162549
InversionCount/429            4583 ns         4583 ns       153332
InversionCount/430            4621 ns         4621 ns       156538
InversionCount/431            4745 ns         4745 ns       144181
InversionCount/432            4295 ns         4295 ns       161609
InversionCount/433            4678 ns         4678 ns       141999
InversionCount/434            4759 ns         4759 ns       152431
InversionCount/435            4217 ns         4217 ns       158001
InversionCount/436            4645 ns         4645 ns       148480
InversionCount/437            4195 ns         4195 ns       167949
InversionCount/438            3600 ns         3600 ns       197917
InversionCount/439            4358 ns         4358 ns       165483
InversionCount/440            4892 ns         4892 ns       155431
InversionCount/441            4658 ns         4658 ns       142049
InversionCount/442            4833 ns         4833 ns       151073
InversionCount/443            4830 ns         4830 ns       140582
InversionCount/444            4974 ns         4974 ns       148235
InversionCount/445            4737 ns         4737 ns       149442
InversionCount/446            4525 ns         4525 ns       160274
InversionCount/447            4667 ns         4667 ns       146872
